2491,37.20,3.35,9.90%,32.86
3686,23.30,2.10,9.91%,25.27
2030,49.00,4.40,9.87%,24.84
8477,47.85,1.05,2.24%,23.64
2007,29.15,2.65,10.00%,23.26
5258,26.35,0.35,1.35%,22.56
4952,87.00,0.70,0.81%,21.85
6226,12.85,1.15,9.83%,21.80
9962,23.30,2.10,9.91%,21.67
4945,72.30,6.50,9.88%,21.31
6142,14.60,0.05,0.34%,21.16
6104,111.50,0.00,0.00%,20.28
5905,18.00,1.60,9.76%,20.00
6229,50.50,1.30,2.64%,19.95
3438,108.50,9.40,9.49%,19.89
2406,27.65,1.40,5.33%,19.44
2033,27.45,1.60,6.19%,18.83
2486,61.40,2.20,3.72%,18.53
3556,90.70,3.40,3.89%,18.25
6494,166.00,-4.50,-2.64%,17.73
6233,50.60,1.75,3.58%,16.86
6547,280.50,25.50,10.00%,16.39
8024,35.00,1.40,4.17%,16.09
3219,156.50,-7.00,-4.28%,15.50
2069,45.10,0.10,0.22%,15.49
8044,147.50,3.00,2.08%,15.23
8940,17.05,0.40,2.40%,15.20
2032,42.30,1.55,3.80%,15.19
1742,22.95,0.75,3.38%,15.04
3666,44.50,-1.20,-2.63%,14.99
